url,title,location,price,size,num_rooms,price_per_sqm,room_type,snapshot_date
https://www.idealista.pt/en/imovel/33956611/,"T1 flat in rua do Embaixador, 146, Centro, Belém","rua do Embaixador, 146, Centro, Belém",230000,42,1,5476.19,T1,2025-03-31
https://www.idealista.pt/en/imovel/34039073/,"T1 flat, Parada Alto de São João, 14, Alto de São João - Alto do Varejão, Penha de França",,250000,58,1,4310.34,T1,2025-03-31
https://www.idealista.pt/en/imovel/34050216/,"T1 flat in beco das Cruzes, 6, Alfama, Santa Maria Maior","beco das Cruzes, 6, Alfama, Santa Maria Maior",260000,58,1,4482.76,T1,2025-03-31
https://www.idealista.pt/en/imovel/33983717/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",289000,41,1,7048.78,T1,2025-03-31
https://www.idealista.pt/en/imovel/34001087/,"T1 flat, Calçada da Picheleira, 54 Rc Esquerdo, Beato, Lisboa",,200000,90,1,2222.22,T1,2025-03-31
https://www.idealista.pt/en/imovel/34048820/,"T1 flat in travessa do Convento da Encarnação, 21, Pena, Arroios","travessa do Convento da Encarnação, 21, Pena, Arroios",220000,50,1,4400.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34008315/,"T1 flat in rua da Penha de França, 161, Centro, Penha de França","rua da Penha de França, 161, Centro, Penha de França",270000,50,1,5400.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34012957/,"T1 flat in Centro, Penha de França","Centro, Penha de França",240000,62,1,3870.97,T1,2025-03-31
https://www.idealista.pt/en/imovel/34038056/,"T2 flat in Boa Hora, Ajuda","Boa Hora, Ajuda",270000,70,2,3857.14,T2,2025-03-31
https://www.idealista.pt/en/imovel/34047803/,"T1 flat in Boa Hora, Ajuda","Boa Hora, Ajuda",230000,50,1,4600.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/34033580/,"T1 flat in rua Engenheiro Santos Simões, 7 n, Alto de São João - Alto do Varejão, Penha de França","rua Engenheiro Santos Simões, 7 n, Alto de São João - Alto do Varejão, Penha de França",290000,69,1,4202.9,T1,2025-03-31
https://www.idealista.pt/en/imovel/34027780/,"T2 flat in travessa Irmãzinhas dos Pobres, 5, Centro, Campolide","travessa Irmãzinhas dos Pobres, 5, Centro, Campolide",300000,57,2,5263.16,T2,2025-03-31
https://www.idealista.pt/en/imovel/33704216/,"T2 flat in rua General Justiniano Padrel, Santa Engrácia, São Vicente","rua General Justiniano Padrel, Santa Engrácia, São Vicente",270000,71,2,3802.82,T2,2025-03-31
https://www.idealista.pt/en/imovel/33170895/,"Terraced house, Vila Graciete, Prazeres - Maria Pia, Campo de Ourique",,285000,40,0,7125.0,,2025-03-31
https://www.idealista.pt/en/imovel/33956353/,"T1 flat in rua do Vale Formoso de Cima, Marvila, Lisboa","rua do Vale Formoso de Cima, Marvila, Lisboa",208000,49,1,4244.9,T1,2025-03-31
https://www.idealista.pt/en/imovel/33964327/,"T1 flat in rua Marcos Portugal, Príncipe Real - São Bento, Misericórdia","rua Marcos Portugal, Príncipe Real - São Bento, Misericórdia",290000,60,1,4833.33,T1,2025-03-31
https://www.idealista.pt/en/imovel/33789807/,"Terraced house, Calçada da Quintinha, Centro, Campolide",,285000,52,0,5480.77,,2025-03-31
https://www.idealista.pt/en/imovel/33277885/,"T2 flat in rua do Duque, Chiado, Santa Maria Maior","rua do Duque, Chiado, Santa Maria Maior",215000,41,2,5243.9,T2,2025-03-31
https://www.idealista.pt/en/imovel/33694400/,"T2 flat, Calçada Cardeal, São Vicente de Fora, São Vicente",,289000,47,2,6148.94,T2,2025-03-31
https://www.idealista.pt/en/imovel/33934110/,"T1 flat in rua da Silva, 34, Cais do Sodré - Santos, Misericórdia","rua da Silva, 34, Cais do Sodré - Santos, Misericórdia",248000,60,1,4133.33,T1,2025-03-31
https://www.idealista.pt/en/imovel/33922302/,"Duplex in rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior","rua João do Outeiro, Mouraria - Castelo, Santa Maria Maior",240000,40,0,6000.0,,2025-03-31
https://www.idealista.pt/en/imovel/33898547/,"T1 flat in rua Aliança Operária, Boa Hora, Ajuda","rua Aliança Operária, Boa Hora, Ajuda",300000,40,1,7500.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33924500/,"T1 flat in rua da Oliveira ao Carmo, 57, Chiado, Santa Maria Maior","rua da Oliveira ao Carmo, 57, Chiado, Santa Maria Maior",290000,73,1,3972.6,T1,2025-03-31
https://www.idealista.pt/en/imovel/33654320/,"T2 flat in rua Doutor João de Barros, Arneiros, Benfica","rua Doutor João de Barros, Arneiros, Benfica",295000,75,2,3933.33,T2,2025-03-31
https://www.idealista.pt/en/imovel/33736516/,"T1 flat in Alfama, Santa Maria Maior","Alfama, Santa Maria Maior",255000,48,1,5312.5,T1,2025-03-31
https://www.idealista.pt/en/imovel/33962583/,"T2 flat in Marvila, Lisboa","Marvila, Lisboa",260000,66,2,3939.39,T2,2025-03-31
https://www.idealista.pt/en/imovel/33851408/,"T2 flat in rua Capitão Roby, Nn, Beato, Lisboa","rua Capitão Roby, Nn, Beato, Lisboa",230000,47,2,4893.62,T2,2025-03-31
https://www.idealista.pt/en/imovel/33911212/,"T2 flat in avenida General Roçadas, 169, Centro, Penha de França","avenida General Roçadas, 169, Centro, Penha de França",280000,55,2,5090.91,T2,2025-03-31
https://www.idealista.pt/en/imovel/33846538/,"T2 flat in Anjos, Arroios","Anjos, Arroios",250000,100,2,2500.0,T2,2025-03-31
https://www.idealista.pt/en/imovel/33919754/,"T1 flat in travessa de São Miguel, 10, Alfama, Santa Maria Maior","travessa de São Miguel, 10, Alfama, Santa Maria Maior",195000,42,1,4642.86,T1,2025-03-31
https://www.idealista.pt/en/imovel/33799376/,"T1 flat, Alto do Carvalhão, 21, Centro, Campolide",,285000,50,1,5700.0,T1,2025-03-31
https://www.idealista.pt/en/imovel/33972383/,"Duplex in rua de São Bento, Príncipe Real - São Bento, Misericórdia","rua de São Bento, Príncipe Real - São Bento, Misericórdia",250000,46,0,5434.78,,2025-03-31
